,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
0,erdos-reyni-n1000-p0.005--maxw2000-seed5_0.graph,,479088,479088,492328,461997
1,erdos-reyni-n1000-p0.005--maxw2000-seed5_1.graph,506460.0,494202,494202,506460,474486
2,erdos-reyni-n1000-p0.005--maxw2000-seed5_10.graph,,483733,483733,508220,474429
3,erdos-reyni-n1000-p0.005--maxw2000-seed5_100.graph,,488720,488720,506865,466913
4,erdos-reyni-n1000-p0.005--maxw2000-seed5_1000.graph,,450485,450485,495251,460759
5,erdos-reyni-n1000-p0.005--maxw2000-seed5_1001.graph,,470934,470934,492167,463291
6,erdos-reyni-n1000-p0.005--maxw2000-seed5_1002.graph,,487615,487615,500366,447823
7,erdos-reyni-n1000-p0.005--maxw2000-seed5_1003.graph,505656.0,493315,493315,505656,480335
8,erdos-reyni-n1000-p0.005--maxw2000-seed5_1004.graph,495782.0,481265,481265,495782,459268
9,erdos-reyni-n1000-p0.005--maxw2000-seed5_1005.graph,,464900,464900,483776,444702
10,erdos-reyni-n1000-p0.005--maxw2000-seed5_1006.graph,,477806,477806,486053,444165
11,erdos-reyni-n1000-p0.005--maxw2000-seed5_1007.graph,,489220,489220,503813,473191
12,erdos-reyni-n1000-p0.005--maxw2000-seed5_1008.graph,,480447,480447,507016,462872
13,erdos-reyni-n1000-p0.005--maxw2000-seed5_1009.graph,,464901,464901,484446,446731
14,erdos-reyni-n1000-p0.005--maxw2000-seed5_101.graph,,482522,482522,500489,454619
15,erdos-reyni-n1000-p0.005--maxw2000-seed5_1010.graph,,497210,497210,505034,465931
16,erdos-reyni-n1000-p0.005--maxw2000-seed5_1011.graph,,517294,517294,521362,493802
17,erdos-reyni-n1000-p0.005--maxw2000-seed5_1012.graph,,478519,478519,500542,469367
18,erdos-reyni-n1000-p0.005--maxw2000-seed5_1013.graph,,492359,492359,499649,461503
19,erdos-reyni-n1000-p0.005--maxw2000-seed5_1014.graph,,479311,479311,497811,452703
20,erdos-reyni-n1000-p0.005--maxw2000-seed5_1015.graph,510792.0,490339,490339,510792,472032
21,erdos-reyni-n1000-p0.005--maxw2000-seed5_1016.graph,,477003,477003,491329,457143
22,erdos-reyni-n1000-p0.005--maxw2000-seed5_1017.graph,500189.0,481664,481664,499849,451633
23,erdos-reyni-n1000-p0.005--maxw2000-seed5_1018.graph,,484218,484218,501562,462224
24,erdos-reyni-n1000-p0.005--maxw2000-seed5_1019.graph,,487720,487720,498919,469326
25,erdos-reyni-n1000-p0.005--maxw2000-seed5_102.graph,,500587,500587,507394,461010
26,erdos-reyni-n1000-p0.005--maxw2000-seed5_1020.graph,,493064,493064,497770,453518
27,erdos-reyni-n1000-p0.005--maxw2000-seed5_1021.graph,,465756,465756,487306,450604
28,erdos-reyni-n1000-p0.005--maxw2000-seed5_1022.graph,,474392,474392,494784,460193
29,erdos-reyni-n1000-p0.005--maxw2000-seed5_1023.graph,,469443,469443,489790,447836
30,erdos-reyni-n1000-p0.005--maxw2000-seed5_1024.graph,,474019,474019,493918,448618
31,erdos-reyni-n1000-p0.005--maxw2000-seed5_1025.graph,,470618,470618,485205,451127
32,erdos-reyni-n1000-p0.005--maxw2000-seed5_1026.graph,,483591,483591,492541,463659
33,erdos-reyni-n1000-p0.005--maxw2000-seed5_1027.graph,,473953,473953,491088,442358
34,erdos-reyni-n1000-p0.005--maxw2000-seed5_1028.graph,514795.0,494024,494024,514795,463837
35,erdos-reyni-n1000-p0.005--maxw2000-seed5_1029.graph,503796.0,486234,486234,503796,454906
