,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
0,erdos-reyni-n200-p0.1--maxw400-seed20_0.graph,9554,6895,6895,9263,7801
1,erdos-reyni-n200-p0.1--maxw400-seed20_1.graph,11051,7986,7986,11051,8775
2,erdos-reyni-n200-p0.1--maxw400-seed20_10.graph,10119,6776,6776,10119,8464
3,erdos-reyni-n200-p0.1--maxw400-seed20_100.graph,10334,6986,6986,10334,8512
4,erdos-reyni-n200-p0.1--maxw400-seed20_101.graph,9988,6998,6998,9945,8620
5,erdos-reyni-n200-p0.1--maxw400-seed20_102.graph,9811,7146,7146,9811,8434
6,erdos-reyni-n200-p0.1--maxw400-seed20_103.graph,9779,8005,8005,9779,7994
7,erdos-reyni-n200-p0.1--maxw400-seed20_104.graph,10178,7736,7736,10178,8585
8,erdos-reyni-n200-p0.1--maxw400-seed20_105.graph,10500,7625,7625,10500,9050
9,erdos-reyni-n200-p0.1--maxw400-seed20_106.graph,9744,6794,6794,9744,8501
10,erdos-reyni-n200-p0.1--maxw400-seed20_107.graph,10855,9738,9738,10855,9614
11,erdos-reyni-n200-p0.1--maxw400-seed20_108.graph,9675,7068,7068,9648,8988
12,erdos-reyni-n200-p0.1--maxw400-seed20_109.graph,9878,7258,7258,9878,9470
13,erdos-reyni-n200-p0.1--maxw400-seed20_11.graph,10298,6449,6449,10298,8504
14,erdos-reyni-n200-p0.1--maxw400-seed20_110.graph,10564,7134,7134,10564,9503
15,erdos-reyni-n200-p0.1--maxw400-seed20_111.graph,10883,8051,8051,10883,8570
16,erdos-reyni-n200-p0.1--maxw400-seed20_112.graph,10600,9744,9744,10600,8323
17,erdos-reyni-n200-p0.1--maxw400-seed20_113.graph,9291,7132,7132,9272,7639
18,erdos-reyni-n200-p0.1--maxw400-seed20_114.graph,9579,7554,7554,9579,8768
19,erdos-reyni-n200-p0.1--maxw400-seed20_115.graph,9997,7343,7343,9941,8260
20,erdos-reyni-n200-p0.1--maxw400-seed20_116.graph,9775,7741,7741,9775,8437
21,erdos-reyni-n200-p0.1--maxw400-seed20_117.graph,11116,9803,9803,11116,9866
