,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
0,vc-exact_001.graph,3574.0,3572,3572,3574,3057
1,vc-exact_002.graph,41190.0,41190,41190,41190,41190
2,vc-exact_003.graph,48351.0,48351,48351,48351,48351
3,vc-exact_004.graph,5540.0,5540,5540,5540,4630
4,vc-exact_005.graph,71.0,62,62,71,57
5,vc-exact_006.graph,74.0,64,64,74,55
6,vc-exact_007.graph,4397.0,4382,4382,4397,3775
7,vc-exact_008.graph,4192.0,4184,4184,4192,3502
8,vc-exact_009.graph,17104.0,16666,16666,17104,14957
9,vc-exact_010.graph,72.0,67,67,72,63
10,vc-exact_011.graph,4896.0,4805,4805,4896,4294
11,vc-exact_012.graph,42526.0,42526,42526,42526,42526
12,vc-exact_013.graph,36697.0,36697,36697,36697,36697
13,vc-exact_014.graph,20012.0,20012,20012,20012,20012
14,vc-exact_015.graph,42940.0,42940,42940,42940,42940
15,vc-exact_016.graph,25.0,25,25,25,23
16,vc-exact_017.graph,11459.0,11281,11281,11459,9713
17,vc-exact_018.graph,39011.0,39011,39011,39011,39011
18,vc-exact_019.graph,70.0,61,61,70,48
19,vc-exact_020.graph,45639.0,45639,45639,45639,45639
20,vc-exact_021.graph,19655.0,19655,19655,19655,19655
21,vc-exact_022.graph,5840.0,5645,5645,5840,4995
22,vc-exact_023.graph,11704.0,11348,11348,11704,10137
23,vc-exact_024.graph,3256.0,3191,3191,3256,2894
24,vc-exact_025.graph,18295.0,18295,18295,18295,18295
25,vc-exact_026.graph,3634.0,3604,3604,3634,3195
26,vc-exact_027.graph,52435.0,52435,52435,52435,52435
27,vc-exact_028.graph,43780.0,43780,43780,43780,43780
28,vc-exact_029.graph,6809.0,6797,6797,6809,5747
29,vc-exact_030.graph,49515.0,49515,49515,49515,49515
30,vc-exact_031.graph,64.0,50,50,64,43
31,vc-exact_032.graph,,512,512,530,468
32,vc-exact_033.graph,,1570,1570,1683,1614
33,vc-exact_034.graph,,509,509,529,460
34,vc-exact_035.graph,67.0,57,57,67,50
35,vc-exact_036.graph,,9828,9828,10000,9609
36,vc-exact_037.graph,67.0,58,58,67,51
37,vc-exact_038.graph,,149,149,181,134
38,vc-exact_039.graph,,2415,2415,2593,2471
39,vc-exact_040.graph,64.0,57,57,64,52
40,vc-exact_041.graph,61.0,50,50,61,46
41,vc-exact_042.graph,64.0,54,54,64,48
42,vc-exact_043.graph,61.0,54,54,61,45
43,vc-exact_044.graph,58.0,48,48,58,41
44,vc-exact_045.graph,63.0,55,55,63,47
45,vc-exact_046.graph,62.0,55,55,63,50
46,vc-exact_047.graph,60.0,52,52,60,50
47,vc-exact_048.graph,62.0,49,49,62,46
48,vc-exact_049.graph,64.0,55,55,64,45
49,vc-exact_050.graph,60.0,53,53,60,45
50,vc-exact_051.graph,60.0,49,49,60,45
51,vc-exact_052.graph,62.0,50,50,62,45
52,vc-exact_053.graph,61.0,51,51,61,46
53,vc-exact_054.graph,63.0,53,53,63,49
54,vc-exact_055.graph,66.0,54,54,66,48
55,vc-exact_056.graph,59.0,50,50,59,43
56,vc-exact_057.graph,58.0,49,49,58,39
57,vc-exact_058.graph,58.0,54,54,58,44
58,vc-exact_059.graph,63.0,58,58,63,50
59,vc-exact_060.graph,59.0,49,49,59,44
60,vc-exact_061.graph,65.0,56,56,65,49
61,vc-exact_062.graph,58.0,46,46,58,45
62,vc-exact_063.graph,62.0,52,52,62,44
63,vc-exact_064.graph,62.0,52,52,62,51
64,vc-exact_065.graph,62.0,48,48,62,45
65,vc-exact_066.graph,66.0,54,54,66,52
66,vc-exact_067.graph,57.0,53,53,57,39
