,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
0,vc-exact_001-maxw12320-seed2019_50.graph,23912307.0,23399906.0,23399906,23912307.0,20781511
1,vc-exact_001-maxw12320-seed2019_51.graph,23880777.0,23367669.0,23367669,23880777.0,21319817
2,vc-exact_001-maxw12320-seed2019_52.graph,24002579.0,23452744.0,23452744,24002579.0,21378678
3,vc-exact_001-maxw12320-seed2019_53.graph,23937961.0,23321718.0,23321718,23937961.0,21469148
4,vc-exact_001-maxw12320-seed2019_54.graph,24334015.0,23795422.0,23795422,24334015.0,21410307
5,vc-exact_001-maxw12320-seed2019_55.graph,24086272.0,23558201.0,23558201,24086272.0,21562322
6,vc-exact_001-maxw12320-seed2019_56.graph,23820505.0,23337112.0,23337112,23820505.0,21678896
7,vc-exact_001-maxw12320-seed2019_57.graph,24003174.0,23535695.0,23535695,24003174.0,21151948
8,vc-exact_001-maxw12320-seed2019_58.graph,24390216.0,23852652.0,23852652,24390216.0,21473637
9,vc-exact_001-maxw12320-seed2019_59.graph,24176154.0,23612060.0,23612060,24176154.0,21478448
10,vc-exact_001-maxw12320-seed2019_60.graph,23816970.0,23148697.0,23148697,23816970.0,20956628
11,vc-exact_001-maxw12320-seed2019_61.graph,24341300.0,23730386.0,23730386,24341300.0,21681277
12,vc-exact_001-maxw12320-seed2019_62.graph,24146877.0,23640162.0,23640162,24146877.0,21294445
13,vc-exact_001-maxw12320-seed2019_63.graph,24209011.0,23690872.0,23690872,24209011.0,21658819
14,vc-exact_001-maxw12320-seed2019_64.graph,23766537.0,23284116.0,23284116,23766537.0,21527938
15,vc-exact_001-maxw12320-seed2019_65.graph,24176000.0,23624061.0,23624061,24176000.0,21391840
16,vc-exact_001-maxw12320-seed2019_66.graph,23826076.0,23357064.0,23357064,23826076.0,21500934
17,vc-exact_001-maxw12320-seed2019_67.graph,23839733.0,23285596.0,23285596,23839733.0,21018836
