,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
0,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00000.graph,535278.0,534699,534699,535278,499455
1,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00001.graph,535068.0,532309,532309,534207,484459
2,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00002.graph,512539.0,512214,512214,512539,474689
3,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00003.graph,509999.0,508129,508129,509308,471680
4,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00004.graph,517951.0,505726,505726,517565,475733
5,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00005.graph,528974.0,528586,528586,528974,502570
6,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00006.graph,512153.0,512153,512153,512153,473440
7,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00007.graph,513752.0,507396,507396,513444,478887
8,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00008.graph,516483.0,513469,513469,516146,472933
9,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00009.graph,520244.0,520244,520244,520244,488785
10,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00010.graph,515982.0,510043,510043,514101,470319
11,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00011.graph,515526.0,515526,515526,515526,475148
12,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00012.graph,509724.0,502884,502884,509291,474341
13,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00013.graph,528840.0,528840,528840,528840,490843
14,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00014.graph,522983.0,522534,522534,522983,491272
15,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00015.graph,525178.0,524068,524068,525178,473121
16,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00016.graph,518367.0,518156,518156,518367,482549
17,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00017.graph,521983.0,521274,521274,521983,479210
18,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00018.graph,529001.0,529001,529001,529001,499431
19,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00019.graph,510097.0,501813,501813,509497,466034
20,watts-strogatz-n1000-k5-p0.9-maxw2000-seed5000_00020.graph,507875.0,502282,502282,507875,467988
