name,n_nodes,n_edges,avg_deg,n_components,n_isolates,sum_weights,treewidth_min_degree,average_clustering,kamis_weight
erdos-reyni-n200-p0.1--maxw400-seed20_681,200,1983,19.83,1,0,40965,134,0.093,10582
erdos-reyni-n200-p0.1--maxw400-seed20_259,200,2076,20.76,1,0,40134,137,0.112,9574
erdos-reyni-n200-p0.1--maxw400-seed20_535,200,2029,20.29,1,0,41677,136,0.108,10665
erdos-reyni-n200-p0.1--maxw400-seed20_764,200,2038,20.38,1,0,41382,136,0.099,10276
erdos-reyni-n200-p0.1--maxw400-seed20_332,200,1975,19.75,1,0,38274,133,0.098,10204
erdos-reyni-n200-p0.1--maxw400-seed20_657,200,2049,20.49,1,0,41266,135,0.113,10740
erdos-reyni-n200-p0.1--maxw400-seed20_404,200,2002,20.02,1,0,41822,132,0.093,10439
erdos-reyni-n200-p0.1--maxw400-seed20_880,200,1989,19.89,1,0,40264,133,0.087,10013
erdos-reyni-n200-p0.1--maxw400-seed20_760,200,1990,19.9,1,0,36259,134,0.109,9504
erdos-reyni-n200-p0.1--maxw400-seed20_247,200,1955,19.55,1,0,39749,129,0.104,10118
erdos-reyni-n200-p0.1--maxw400-seed20_688,200,2065,20.65,1,0,38652,138,0.098,9239
erdos-reyni-n200-p0.1--maxw400-seed20_526,200,1993,19.93,1,0,40074,135,0.092,9975
erdos-reyni-n200-p0.1--maxw400-seed20_464,200,2013,20.13,1,0,42978,134,0.088,11100
erdos-reyni-n200-p0.1--maxw400-seed20_296,200,1924,19.24,1,0,40856,135,0.102,10262
erdos-reyni-n200-p0.1--maxw400-seed20_981,200,2006,20.06,1,0,42025,134,0.094,10483
erdos-reyni-n200-p0.1--maxw400-seed20_803,200,2025,20.25,1,0,40719,138,0.096,10041
erdos-reyni-n200-p0.1--maxw400-seed20_421,200,2043,20.43,1,0,40053,139,0.096,10066
erdos-reyni-n200-p0.1--maxw400-seed20_577,200,1944,19.44,1,0,40497,139,0.094,10155
erdos-reyni-n200-p0.1--maxw400-seed20_92,200,2027,20.27,1,0,39381,136,0.078,10114
erdos-reyni-n200-p0.1--maxw400-seed20_581,200,1924,19.24,1,0,40595,133,0.105,9970
erdos-reyni-n200-p0.1--maxw400-seed20_743,200,1909,19.09,1,0,38980,133,0.101,10672
erdos-reyni-n200-p0.1--maxw400-seed20_200,200,1955,19.55,1,0,39436,134,0.087,9683
erdos-reyni-n200-p0.1--maxw400-seed20_807,200,2026,20.26,1,0,41741,137,0.104,10458
erdos-reyni-n200-p0.1--maxw400-seed20_711,200,1964,19.64,1,0,40239,135,0.099,10256
erdos-reyni-n200-p0.1--maxw400-seed20_447,200,2059,20.59,1,0,40914,139,0.105,9612
erdos-reyni-n200-p0.1--maxw400-seed20_253,200,2036,20.36,1,0,40538,135,0.102,9874
erdos-reyni-n200-p0.1--maxw400-seed20_86,200,1971,19.71,1,0,39159,135,0.083,9816
erdos-reyni-n200-p0.1--maxw400-seed20_606,200,1972,19.72,1,0,40981,134,0.108,10185
erdos-reyni-n200-p0.1--maxw400-seed20_480,200,2003,20.03,1,0,40811,135,0.11,10191
erdos-reyni-n200-p0.1--maxw400-seed20_370,200,1985,19.85,1,0,43097,135,0.103,10509
erdos-reyni-n200-p0.1--maxw400-seed20_843,200,2053,20.53,1,0,38235,135,0.127,9844
erdos-reyni-n200-p0.1--maxw400-seed20_281,200,2009,20.09,1,0,41473,130,0.105,10177
erdos-reyni-n200-p0.1--maxw400-seed20_802,200,1963,19.63,1,0,39051,138,0.1,10001
erdos-reyni-n200-p0.1--maxw400-seed20_860,200,1984,19.84,1,0,37398,134,0.096,9641
erdos-reyni-n200-p0.1--maxw400-seed20_154,200,1976,19.76,1,0,41048,135,0.102,10107
erdos-reyni-n200-p0.1--maxw400-seed20_724,200,1988,19.88,1,0,41648,136,0.095,10564
erdos-reyni-n200-p0.1--maxw400-seed20_455,200,1923,19.23,1,0,41900,132,0.097,10381
erdos-reyni-n200-p0.1--maxw400-seed20_203,200,2004,20.04,1,0,38728,136,0.1,9990
erdos-reyni-n200-p0.1--maxw400-seed20_320,200,1948,19.48,1,0,40384,133,0.09,9960
erdos-reyni-n200-p0.1--maxw400-seed20_178,200,1935,19.35,1,0,40881,134,0.092,10614
erdos-reyni-n200-p0.1--maxw400-seed20_525,200,1968,19.68,1,0,42987,133,0.103,10648
erdos-reyni-n200-p0.1--maxw400-seed20_739,200,1891,18.91,1,0,39180,135,0.086,9799
erdos-reyni-n200-p0.1--maxw400-seed20_827,200,1985,19.85,1,0,41992,136,0.093,10250
erdos-reyni-n200-p0.1--maxw400-seed20_814,200,2014,20.14,1,0,39542,137,0.096,9580
erdos-reyni-n200-p0.1--maxw400-seed20_64,200,1978,19.78,1,0,40561,134,0.099,10221
erdos-reyni-n200-p0.1--maxw400-seed20_134,200,2034,20.34,1,0,41419,138,0.116,10421
erdos-reyni-n200-p0.1--maxw400-seed20_753,200,2004,20.04,1,0,46162,130,0.096,10772
erdos-reyni-n200-p0.1--maxw400-seed20_43,200,1987,19.87,1,0,40557,134,0.096,10479
erdos-reyni-n200-p0.1--maxw400-seed20_166,200,1990,19.9,1,0,43514,136,0.101,10295
erdos-reyni-n200-p0.1--maxw400-seed20_520,200,1951,19.51,1,0,42164,134,0.083,10832
erdos-reyni-n200-p0.1--maxw400-seed20_84,200,2063,20.63,1,0,40775,136,0.101,10190
erdos-reyni-n200-p0.1--maxw400-seed20_631,200,2033,20.33,1,0,39908,130,0.124,9868
erdos-reyni-n200-p0.1--maxw400-seed20_290,200,1984,19.84,1,0,39134,137,0.112,10087
erdos-reyni-n200-p0.1--maxw400-seed20_414,200,1997,19.97,1,0,42860,132,0.096,11204
erdos-reyni-n200-p0.1--maxw400-seed20_222,200,2021,20.21,1,0,41799,134,0.126,10508
erdos-reyni-n200-p0.1--maxw400-seed20_299,200,2030,20.3,1,0,40195,137,0.102,9886
erdos-reyni-n200-p0.1--maxw400-seed20_956,200,1997,19.97,1,0,37934,132,0.094,9437
erdos-reyni-n200-p0.1--maxw400-seed20_810,200,2017,20.17,1,0,39523,131,0.101,10120
erdos-reyni-n200-p0.1--maxw400-seed20_542,200,2015,20.15,1,0,40382,136,0.1,9715
erdos-reyni-n200-p0.1--maxw400-seed20_855,200,2017,20.17,1,0,41200,139,0.097,9933
erdos-reyni-n200-p0.1--maxw400-seed20_263,200,2028,20.28,1,0,41387,136,0.106,10044
erdos-reyni-n200-p0.1--maxw400-seed20_831,200,1965,19.65,1,0,41609,136,0.096,10481
erdos-reyni-n200-p0.1--maxw400-seed20_510,200,2061,20.61,1,0,38282,137,0.084,9839
erdos-reyni-n200-p0.1--maxw400-seed20_847,200,1971,19.71,1,0,43432,135,0.094,10699
erdos-reyni-n200-p0.1--maxw400-seed20_705,200,1978,19.78,1,0,40524,134,0.117,10403
erdos-reyni-n200-p0.1--maxw400-seed20_362,200,2015,20.15,1,0,42089,138,0.111,11020
erdos-reyni-n200-p0.1--maxw400-seed20_128,200,1926,19.26,1,0,38350,131,0.099,9987
erdos-reyni-n200-p0.1--maxw400-seed20_725,200,1908,19.08,1,0,39788,131,0.09,10281
erdos-reyni-n200-p0.1--maxw400-seed20_491,200,2103,21.03,1,0,39876,137,0.107,9998
erdos-reyni-n200-p0.1--maxw400-seed20_137,200,1955,19.55,1,0,38810,135,0.114,9747
erdos-reyni-n200-p0.1--maxw400-seed20_689,200,2006,20.06,1,0,39517,135,0.115,9913
erdos-reyni-n200-p0.1--maxw400-seed20_533,200,2080,20.8,1,0,37298,137,0.112,9525
erdos-reyni-n200-p0.1--maxw400-seed20_289,200,2034,20.34,1,0,41248,136,0.109,10255
erdos-reyni-n200-p0.1--maxw400-seed20_787,200,1947,19.47,1,0,38123,134,0.1,9617
erdos-reyni-n200-p0.1--maxw400-seed20_244,200,1954,19.54,1,0,41604,134,0.104,10859
erdos-reyni-n200-p0.1--maxw400-seed20_125,200,1980,19.8,1,0,40775,137,0.095,10354
erdos-reyni-n200-p0.1--maxw400-seed20_127,200,2009,20.09,1,0,38305,134,0.109,9988
erdos-reyni-n200-p0.1--maxw400-seed20_376,200,1956,19.56,1,0,45343,137,0.112,11122
erdos-reyni-n200-p0.1--maxw400-seed20_310,200,2022,20.22,1,0,41166,135,0.101,10476
erdos-reyni-n200-p0.1--maxw400-seed20_98,200,1990,19.9,1,0,41208,135,0.117,9990
erdos-reyni-n200-p0.1--maxw400-seed20_182,200,1947,19.47,1,0,38826,133,0.1,9625
erdos-reyni-n200-p0.1--maxw400-seed20_668,200,1930,19.3,1,0,41298,132,0.084,10221
erdos-reyni-n200-p0.1--maxw400-seed20_365,200,1991,19.91,1,0,40078,133,0.111,10354
erdos-reyni-n200-p0.1--maxw400-seed20_754,200,1976,19.76,1,0,41750,135,0.096,10435
erdos-reyni-n200-p0.1--maxw400-seed20_430,200,2059,20.59,1,0,41374,139,0.109,10068
erdos-reyni-n200-p0.1--maxw400-seed20_269,200,1985,19.85,1,0,37467,133,0.094,9722
erdos-reyni-n200-p0.1--maxw400-seed20_174,200,2047,20.47,1,0,37544,137,0.111,9248
erdos-reyni-n200-p0.1--maxw400-seed20_685,200,1959,19.59,1,0,39970,133,0.064,10411
erdos-reyni-n200-p0.1--maxw400-seed20_841,200,2063,20.63,1,0,40984,135,0.114,10463
erdos-reyni-n200-p0.1--maxw400-seed20_746,200,2005,20.05,1,0,38632,136,0.103,10051
erdos-reyni-n200-p0.1--maxw400-seed20_652,200,1991,19.91,1,0,38046,133,0.098,9997
erdos-reyni-n200-p0.1--maxw400-seed20_784,200,2015,20.15,1,0,38536,134,0.112,9964
erdos-reyni-n200-p0.1--maxw400-seed20_239,200,2041,20.41,1,0,39291,132,0.121,9709
erdos-reyni-n200-p0.1--maxw400-seed20_158,200,1983,19.83,1,0,40377,134,0.098,10830
erdos-reyni-n200-p0.1--maxw400-seed20_751,200,1982,19.82,1,0,38144,136,0.095,9557
erdos-reyni-n200-p0.1--maxw400-seed20_774,200,1969,19.69,1,0,40609,134,0.087,10692
erdos-reyni-n200-p0.1--maxw400-seed20_925,200,2024,20.24,1,0,39031,134,0.088,10199
erdos-reyni-n200-p0.1--maxw400-seed20_10,200,1971,19.71,1,0,42487,132,0.082,10119
erdos-reyni-n200-p0.1--maxw400-seed20_147,200,2018,20.18,1,0,39328,135,0.095,10076
erdos-reyni-n200-p0.1--maxw400-seed20_495,200,1972,19.72,1,0,43273,132,0.098,10849
erdos-reyni-n200-p0.1--maxw400-seed20_87,200,2027,20.27,1,0,41114,135,0.102,10290
erdos-reyni-n200-p0.1--maxw400-seed20_111,200,1949,19.49,1,0,41108,135,0.109,10883
erdos-reyni-n200-p0.1--maxw400-seed20_36,200,1937,19.37,1,0,39602,133,0.115,10231
